,id,articulation
0,Waleed Alshehri,0
1,Mohamed Atta,1
2,Mamduh Mahmud Salim,1
3,Lotfi Raissi,1
4,Usman Bandukra,1
5,Salem Alhazmi,1
6,Nabil Almarabh,1
7,Ramzi Bin al-Shibh,1
8,Said Bahaji,1
9,Mohamed Abdi,1
10,Mustafa Ahmed al-Hisawi,1
11,Essoussi Laaroussi,1
12,Zacarias Moussaoui,1
13,Jean-Marc Grandvisir,1
14,Abdelghani Mzoudi,1
15,Kamel Daoudi,1
16,Mounir El Motassadeq ,1
17,Ahmed Al Haznawi,1
18,Faisal Al Salmi,1
19,Imad Eddin Barakat Yarkas,1
20,Seifallah ben Hassine,1
21,Tarek Maaroufi,1
22,Nabil al-Marabh,1
23,Agus Budiman,1
24,Ahmed Khalil Ibrahim Samir Al-Ani,1
25,Ahmed Alghamdi,1
26,Nizar Trabelsi,1
27,Samir Kishk,1
28,Mohammed Jaweed Azmath,1
29,David Courtaillier,1
30,Bandar Alhazmi,1
31,Mamoun Darkazanli,1
32,Mohamed Bensakhria,1
33,Mohammed Belfas,1
34,Abdul Aziz Al-Omari,1
35,Rayed Mohammed Abdullah,1
36,Wail Alshehri,1
37,Zakariya Essabar,1
38,Saeed Alghamdi,1
39,Mehdi Khammoun,1
40,Lased Ben Heni,1
41,Majed Moqed,1
42,Mohammad Pervez,1
43,Khalid Al-Mihdhar,1
44,Abu Zubeida,1
45,Madjid Sahoune,1
46,Abdussattar Shaikh,1
47,Fayez Ahmed,1
48,Ziad Jarrah,1
49,Essid Sami Ben Khemais,1
50,Ayub Ali Khan,1
51,Mohand Alshehri,1
52,Djamal Beghal,1
53,Nawaf Alhazmi,1
54,Abu Walid,1
55,Osama Awadallah,1
56,Marwan Al-Shehhi,1
57,Jerome Courtaillier,1
58,Hani Hanjour,1
59,Satam Suqami,1
60,Ahmed Alnami,1
61,Karim Koubriti,1
62,Abu Qatada,1
63,Fahid al Shakri,1
64,Haydar Abu Doha,1
65,Ahmed Ressam,0
66,Raed Hijazi,0
67,Hamza Alghamdi,0
68,Ahmen Hannan,0
