,degree,count
0,32,935
1,232,1
2,34,729
3,36,675
4,38,635
5,40,500
6,240,2
7,42,399
8,44,349
9,46,272
10,246,1
11,48,249
12,50,228
13,250,2
14,52,234
15,54,226
16,56,154
17,58,177
18,60,117
19,62,131
20,262,2
21,64,188
22,66,102
23,68,114
24,70,100
25,270,1
26,72,62
27,74,65
28,76,78
29,78,49
30,278,1
31,80,53
32,280,1
33,82,44
34,84,55
35,86,76
36,88,44
37,90,40
38,92,46
39,292,1
40,94,54
41,96,29
42,98,26
43,298,1
44,100,22
45,300,1
46,102,21
47,104,30
48,106,24
49,108,16
50,110,33
51,112,12
52,114,10
53,314,1
54,116,14
55,118,10
56,120,8
57,122,15
58,124,17
59,324,1
60,126,8
61,128,12
62,130,6
63,132,3
64,134,7
65,136,7
66,138,4
67,140,3
68,142,6
69,144,6
70,346,1
71,148,6
72,150,8
73,152,5
74,154,2
75,156,4
76,158,3
77,160,4
78,162,6
79,164,8
80,166,2
81,168,2
82,172,3
83,176,2
84,178,3
85,180,2
86,182,2
87,184,2
88,186,2
89,198,1
90,200,1
91,2,5003
92,202,3
93,4,10257
94,6,11772
95,206,1
96,8,11097
97,208,2
98,408,1
99,10,12264
100,210,2
101,12,9019
102,212,1
103,14,6716
104,214,2
105,16,4807
106,18,3810
107,20,2881
108,22,2407
109,24,1835
110,224,1
111,26,1454
112,426,1
113,28,1291
114,228,2
115,30,1187
116,230,2
