,degree,count
0,432,13
1,434,14
2,436,9
3,438,10
4,440,8
5,442,9
6,444,11
7,446,8
8,448,4
9,450,2
10,452,2
11,454,3
12,456,1
13,458,3
14,460,2
15,462,3
16,466,5
17,470,2
18,476,1
19,478,1
20,312,1
21,318,1
22,324,2
23,326,1
24,332,1
25,340,2
26,344,4
27,346,3
28,348,5
29,350,6
30,352,2
31,354,4
32,356,3
33,358,4
34,360,12
35,362,9
36,364,13
37,366,12
38,368,20
39,370,12
40,372,18
41,374,17
42,376,25
43,378,26
44,380,16
45,382,25
46,384,33
47,386,30
48,388,27
49,390,29
50,392,37
51,394,30
52,396,30
53,398,19
54,400,36
55,402,41
56,404,42
57,406,31
58,408,29
59,410,30
60,412,21
61,414,22
62,416,26
63,418,21
64,420,15
65,422,24
66,424,29
67,426,21
68,428,12
69,430,10
